最近はまっていることなどはありますか？	朝ドラでしょうか。
どこか旅行に行こうという計画はありますか？	そうですね、去年ハワイ、今年は韓国へ行ったんですが、再来年あたりにまたハワイに行きたいと考えています。
そうですね、去年ハワイ、今年は韓国へ行ったんですが、再来年あたりにまたハワイに行きたいと考えています。	今年に韓国ですか。どんな感じでした？
今年に韓国ですか。どんな感じでした？	騒動の前でしたのでいたって平和でしたよ。結構現地の人も親切でした！どこか行く予定ありますか？
騒動の前でしたのでいたって平和でしたよ。結構現地の人も親切でした！どこか行く予定ありますか？	来年はスペインに行こうかと。別に計画している旅行の中で韓国乗り換えがあって、ちょっと嫌だなと思っています。
来年はスペインに行こうかと。別に計画している旅行の中で韓国乗り換えがあって、ちょっと嫌だなと思っています。	スペインですか！うらやましい。乗り換えは少し大変そうですね。初スペインですか？
スペインですか！うらやましい。乗り換えは少し大変そうですね。初スペインですか？	スペインは初です。その飛行機はまだ未定なのですが、どこかで乗換を入れたいですね。
スペインは初です。その飛行機はまだ未定なのですが、どこかで乗換を入れたいですね。	なるほど。ヨーロッパは結構行かれたりしますか？私まだ行ったことなくて。
なるほど。ヨーロッパは結構行かれたりしますか？私まだ行ったことなくて。	２年に１回くらいです。遺跡が好きなので、イタリアばかり行っていました。
２年に１回くらいです。遺跡が好きなので、イタリアばかり行っていました。	イタリアいいですねー。一度は行きたいです。でもヨーロッパって旅費がかかるイメージでなかなか。
イタリアいいですねー。一度は行きたいです。でもヨーロッパって旅費がかかるイメージでなかなか。	飛行機が高いですよね。ヨーロッパ内はマイルをうまく利用して移動しています。
